document_id,legacy_id,deliverable_id,file_type_cd,origin_cd,document_type_id,reason
2a80a6d2-d159-438f-b3ec-7c5b0d9b663c,76,82f663e1-4275-4270-922d-e9a501a6ff81,,S,General File,parent deliverable not loaded
4b42af17-3e47-4f26-8662-a6721bf6a35b,77,82f663e1-4275-4270-922d-e9a501a6ff81,,S,General File,parent deliverable not loaded
8ff060ed-cc63-47d6-8936-654cdf9a3efb,78,82f663e1-4275-4270-922d-e9a501a6ff81,,S,General File,parent deliverable not loaded
09e1b632-08b9-435f-8716-1d7c129de298,79,82f663e1-4275-4270-922d-e9a501a6ff81,,S,General File,parent deliverable not loaded
aaea2c7a-8a06-40b7-88a6-2c036e6b78b5,80,82f663e1-4275-4270-922d-e9a501a6ff81,,S,General File,parent deliverable not loaded
fa57a0d3-f1e4-4383-abb5-e968826039f1,81,82f663e1-4275-4270-922d-e9a501a6ff81,,S,General File,parent deliverable not loaded
f4e5f53f-56db-4a30-bb5f-3080ed7f5a1f,82,82f663e1-4275-4270-922d-e9a501a6ff81,,S,General File,parent deliverable not loaded
1255a50f-83ea-472f-8656-6d70d60ead7b,83,82f663e1-4275-4270-922d-e9a501a6ff81,,S,General File,parent deliverable not loaded
9cdb84c6-30f3-4ff6-933a-515594cb3540,84,82f663e1-4275-4270-922d-e9a501a6ff81,,S,General File,parent deliverable not loaded
cade365b-aa41-4332-937a-aae7fd6ffd2d,85,82f663e1-4275-4270-922d-e9a501a6ff81,,S,General File,parent deliverable not loaded
